steps	accuracy	loss
45900	1.0	0.021
46000	1.0	0.016
46100	1.0	0.011
46200	0.992	0.027
46300	0.992	0.029
46400	1.0	0.018
46500	0.992	0.029
46600	0.992	0.03
46700	1.0	0.016
46800	0.992	0.029
46900	1.0	0.008
47000	1.0	0.011
47100	1.0	0.025
47200	1.0	0.014
47300	0.992	0.038
47400	1.0	0.01
47500	1.0	0.011
47600	1.0	0.012
47700	0.992	0.035
47800	1.0	0.01
47900	1.0	0.013
48000	1.0	0.017
48100	1.0	0.031
48200	1.0	0.016
48300	1.0	0.011
48400	1.0	0.006
48500	1.0	0.011
48600	1.0	0.013
48700	0.992	0.022
48800	1.0	0.013
48900	1.0	0.009
49000	1.0	0.01
49100	1.0	0.005
49200	1.0	0.019
49300	1.0	0.018
49400	0.992	0.023
49500	1.0	0.01
49600	1.0	0.01
49700	1.0	0.011
49800	1.0	0.022
49900	1.0	0.01
50000	1.0	0.007
